"prov","ym","N","rate","treated","cap_2019","cap_2023","cap_change_ratio"
13,"2025-03",227,0.814977973568282,1,14024,14026,0.000142612664004564
13,"2025-04",241,0.83402489626556,1,14024,14026,0.000142612664004564
13,"2025-05",240,0.854166666666667,1,14024,14026,0.000142612664004564
13,"2025-06",251,0.836653386454183,1,14024,14026,0.000142612664004564
13,"2025-07",261,0.812260536398467,1,14024,14026,0.000142612664004564
24,"2019-01",892,0.845291479820628,1,213119,211192,-0.00904189678067183
24,"2019-02",910,0.847252747252747,1,213119,211192,-0.00904189678067183
24,"2019-03",904,0.858407079646018,1,213119,211192,-0.00904189678067183
24,"2019-04",909,0.864686468646865,1,213119,211192,-0.00904189678067183
24,"2019-05",904,0.860619469026549,1,213119,211192,-0.00904189678067183
24,"2019-06",882,0.85827664399093,1,213119,211192,-0.00904189678067183
24,"2019-07",859,0.868451688009313,1,213119,211192,-0.00904189678067183
24,"2019-08",867,0.847750865051903,1,213119,211192,-0.00904189678067183
24,"2019-09",878,0.845102505694761,1,213119,211192,-0.00904189678067183
24,"2019-10",859,0.844004656577416,1,213119,211192,-0.00904189678067183
24,"2019-11",856,0.83177570093458,1,213119,211192,-0.00904189678067183
24,"2019-12",898,0.837416481069042,1,213119,211192,-0.00904189678067183
24,"2020-01",893,0.830907054871221,1,213119,211192,-0.00904189678067183
24,"2020-02",867,0.841983852364475,1,213119,211192,-0.00904189678067183
24,"2020-03",833,0.827130852340936,1,213119,211192,-0.00904189678067183
24,"2020-04",806,0.825062034739454,1,213119,211192,-0.00904189678067183
24,"2020-05",771,0.8378728923476,1,213119,211192,-0.00904189678067183
24,"2020-06",754,0.848806366047745,1,213119,211192,-0.00904189678067183
24,"2020-07",735,0.854421768707483,1,213119,211192,-0.00904189678067183
24,"2020-08",729,0.860082304526749,1,213119,211192,-0.00904189678067183
24,"2020-09",717,0.852161785216178,1,213119,211192,-0.00904189678067183
24,"2020-10",701,0.827389443651926,1,213119,211192,-0.00904189678067183
24,"2020-11",728,0.828296703296703,1,213119,211192,-0.00904189678067183
24,"2020-12",696,0.833333333333333,1,213119,211192,-0.00904189678067183
24,"2021-01",697,0.8493543758967,1,213119,211192,-0.00904189678067183
24,"2021-02",716,0.847765363128492,1,213119,211192,-0.00904189678067183
24,"2021-03",722,0.862880886426593,1,213119,211192,-0.00904189678067183
24,"2021-04",735,0.853061224489796,1,213119,211192,-0.00904189678067183
24,"2021-05",708,0.862994350282486,1,213119,211192,-0.00904189678067183
24,"2021-06",704,0.856534090909091,1,213119,211192,-0.00904189678067183
24,"2021-07",715,0.837762237762238,1,213119,211192,-0.00904189678067183
24,"2021-08",727,0.858321870701513,1,213119,211192,-0.00904189678067183
24,"2021-09",710,0.867605633802817,1,213119,211192,-0.00904189678067183
24,"2021-10",707,0.871287128712871,1,213119,211192,-0.00904189678067183
24,"2021-11",725,0.881379310344828,1,213119,211192,-0.00904189678067183
24,"2021-12",747,0.85809906291834,1,213119,211192,-0.00904189678067183
24,"2022-01",798,0.838345864661654,1,213119,211192,-0.00904189678067183
24,"2022-02",875,0.843428571428571,1,213119,211192,-0.00904189678067183
24,"2022-03",965,0.848704663212435,1,213119,211192,-0.00904189678067183
24,"2022-04",1013,0.836130306021718,1,213119,211192,-0.00904189678067183
24,"2022-05",972,0.832304526748971,1,213119,211192,-0.00904189678067183
24,"2022-06",954,0.848008385744235,1,213119,211192,-0.00904189678067183
24,"2022-07",921,0.818675352877307,1,213119,211192,-0.00904189678067183
24,"2022-08",872,0.85091743119266,1,213119,211192,-0.00904189678067183
24,"2022-09",844,0.849526066350711,1,213119,211192,-0.00904189678067183
